actor,movie,new_actor
John Abraham,Madras Cafe,No
John Abraham,Dhan Dhana Dhan Goal,No
Joysen Gupta,Mein Bikaaoo On Sale,Yes
Juhi Chawla,7 1/2 Phere,No
Juhi Chawla,I Am,No
Juhi Chawla,Main Hoon Krishna,No
Jyoti Dev,Sardi Mein Garmi,Yes
K.Gauri,Topless,Yes
Kabir Sawhney,26th July At Barista,Yes
Kaif Khan,Main Tere Ishq Mein,Yes
Kailash Manav,Mudrank - The Stamp,Yes
Kajol,We Are Family,No
Kalaynji Jana,Dhund Lenge Manzil Hum,Yes
Kalki Koechlin,That Girl in Yellow Boots,No
Kalki Koechlin,Margarita With A Straw,No
Kalpana Pandit,Janleva 555,No
Kamaal R. Khan,Deshdrohi,Yes
Kamal Hassan,Mumbai Xpress,No
Kanan Malhotra,Phaans - Ek Jasoos Ki Kahani,Yes
Kangana Ranaut,Simran,No
Kangana Ranaut,Revolver Rani,No
Kangana Ranaut,Queen,No
Kangana Ranaut,Rajjo,No
Kanwaljeet,Myoho,No
Bipasha Basu,Aatma,No
Kapil Jhaveri,Nishaan - The Mark,No
Kapil Sharma,Kis Kisko Pyaar Karoon,No
Kapil Sharma,Firangi,No
Karan Grover,Alone,Yes
Karan Hakku,Aakhri Deal,No
Karan Mehra,Love Possible,Yes
Karan Sharma,Rajula - A Tale From The Himalayas,No
Karanvir Sharma,Sadda Adda,Yes
Karanvir Sharma,Zid,No
Kareena Kapoor,Heroine,No
Kareena Kapoor,Ki & Ka,No
Kareena Kapoor,Ek Main Aur Ekk Tu,No
Karisma Kapoor,Dangerous Ishhq,No
Karron Mallik,Bachao Inside Bhoot Hai,Yes
Kartik Aryan,Guest In London,No
Kartik Aryan,Pyaar Ka Punchnama,Yes
Kartik Aryan,Akaash Vani,No
Kartik Tiwari,Pyaar Ka Punchnama 2,No
Kashish,Jhansi Ki Rani Laxmibai,Yes
Kashmira Shah,Revati,No
Kavin Dave,Bumboo,Yes
Kay Kay Menon,Bhindi Bazaar Inc,No
Kay Kay Menon,Black Friday,No
Kay Kay Menon,Gulaal,No
Kay Kay Menon,Dansh,No
Kay Kay Menon,The Stoneman Murders,No
Kay Kay Menon,Rahasya,No
Kay Kay Menon,Mumbai Meri Jaan,No
Kay Kay Menon,Sankat City,No
Kay Kay Menon,Life Ki Toh Lag Gayi,No
Kay Kay Menon,Ankur Arora Murder Case,No
Kay Kay Menon,Benny And Babloo,No
Kaya Bunti,Main Hoon Basanti Tangewali,Yes
Khushboo Khan,Ladies First,Yes
Kiran Janjani,It Can Be Dangerous - City Of Dreams,No
Kiran Janjani,Sitam,No
Kiran Janjani,Jalwa - Fun In Love,No
Kiran Karmarkar,Just 47 - Hum Bhi Insaan Hai,No
Kirran Sharad,Shudra - The Rising,Yes
Kirron Kher,Mummy Punjabi,No
Kirron Kher,Saas Bahu Aur Sensex,No
Kirti Kulhari,Indu Sarkar,No
Koel Puri,It's Breaking News,No
Kohinoor Khan,Mumbai 118,Yes
Konkona Sen Sharma,Lipstick Under My Burkha,No
Konkona Sen Sharma,Page 3,Yes
Konkona Sen Sharma,Chai Pani Etc...,Yes
Konkona Sen Sharma,Amu,Yes
Kranti Redkar,U Bomsi N Me,Yes
Krishna,Love King Murder,No
Krishna Abhishek,Aur Pappu Pass Ho Gaya,No
Kumaar Aadarsh,Shringaar,No
Kumaar Aadarsh,Rooh,No
Kumar Jai Baliyaan,Gailya - The Ghost Of Night,Yes
Kunal Kapoor,Hattrick,No
Kunal Kapoor,Luv Shuv Tey Chicken Khurana,No
Kunal Kapoor,Raag Desh,No
Kunal Khemu,99,No
Kunal Khemu,Traffic Signal,No
Kunal Khemu,Kalyug,Yes
Kunal Khemu,Superstar,No
Kunal Khemu,Dhoondte Reh Jaoge,No
Kunal Khemu,Blood Money,No
Kush Khurana,Mumbai Shooters,Yes
Laala Khan,Titar Fanda - A Death Trap,Yes
Leander Paes,Rajdhani Express,Yes
Lee Williiams,Delhi In A Day,Yes
Leeza Mangaldas,W,Yes
Linus Roach,Before The Rains,Yes
Lucky Ali,Kasak,No
Luke Kenny,Rise Of The Zombie,No
Luv Sinha,Sadiyaan,Yes
Maanas Srivastava,Rakhtbeej,Yes
Madhoo,Kabhi Socha Bhi Na Tha,No
Madhuri Dixit,Aaja Nachle,No
Madhuri Dixit,Gulaab Gang,No
Mahakshay Chakraborty,Jimmy,Yes
Mahakshay Chakraborty,The Murderer,No
Mahakshay Chakraborty,Haunted 3D,No
Mahesh,Be Parda,Yes
Mahie Gill,Saheb Biwi Aur Gangster,No
Mahie Gill,Saheb Biwi Aur Gangster Returns,No
Mahima Chaudhary,Kudiyon Ka Hai Zamana,No
Mahima Chaudhary,The Film,No
Mahima Chaudhary,Souten - The Other Woman,No
Mallika Sherawat,Bachke Rehna Re Baba,No
Mallika Sherawat,Hisss,No
Mallika Sherawat,Dirty Politics,No
Mallika Sherawat,Ugly Aur Pagli,No
Mallika Sherawat,Maan Gaye Mughall-E-Azam,No
Mammootty,Sau Jhooth Ek Sach,Yes
Manav Sohal,Ek Pyaar Aisa Bhi,Yes
Manav Vij,Vishwas - The Power Of Faith,Yes
Mandira Bedi,Meerabai Not Out,No
Manish Chaudhary,Trip To Bhangarh,No
Manish Paul,Tere Bin Laden - Dead Or Alive,No
Manish Paul,Mickey Virus,Yes
Manisha Koirala,Anjaane - The Unknown,No
Manisha Koirala,Chaahat Ek Nasha...,No
Manisha Koirala,Tulsi,No
Manisha Koirala,Sirf....,No
Manoj Amarnani,Life Is Beautiful!,Yes
Manoj Bajpai,Dus Tola,No
Manoj Bajpai,Jugaad,No
Manoj Bajpai,Gangs Of Wasseypur 1,No
Manoj Bajpai,Chittagong,No
Manoj Bajpai,Fareb,No
Manoj Bajpai,Swami,No
Manoj Bajpai,Aligarh,No
Manoj Bajpai,Lanka,No
Manoj Bajpai,Traffic,No
Manoj Pandey,The Dirty Relation,Yes
Manoranjan Jha,Chaahat Ek Ehsaas,Yes
Manzar Sehbai,Ya Rab,Yes
Mashaal Durrani,Hum Tum Dushman Dushman,Yes
Mashhoor Amrohi,Hum Sey Hai Jahaan,Yes
Master Shams,Thanks Maa,Yes
Meera,Bhadaas,No
Meera,5 Ghantey Mein 5 Crore,No
Meghna Naidu,Bad Friend,No
Meghna Naidu,Mashooka,No
Mehrunnisa Hassan,Hum Tum Aur Mom,Yes
Melanie Kannokada,Love Lies And Seeta,Yes
Mighty,Tezaab - The Acid of Love,Yes
Mika Singh,Balwinder Singh... Famous Ho Gaya,No
Mikaal Zulfikaar,U R My Jaan,Yes
Milind Gunaji,Husn Bewafa,No
Milind Gunaji,Karo Na... Pyaar,No
Milind Gunaji,Humne Jeena Seekh Liya,No
Mink,Katputtli,No
Mishti,Kaanchi,Yes
Mithun Chakraborty,Don Muthu Swami,No
Mithun Chakraborty,Baabarr,No
Mithun Chakraborty,Zindagi Tere Naam,No
Mithun Chakraborty,Enemmy,No
Mithun Chakraborty,Classic Dance Of Love,No
Mithun Chakraborty,Zor Lagaa Ke... Haiya!,No
Mithun Chakraborty,Insaaf Ki Jung,No
Mithun Chakraborty,Sun Zarra.....,No
Mithun Chakraborty,Qatal-E-Aam,No
Mithun Chakraborty,Chal Chalein,No
Mohammad Iqbal Khan,Unforgettable,No
Mohammad Iqbal Khan,Bullet Ek Dhamaka,No
Mohd. Samad,Gattu,Yes
Mohit Ahlawat,The Film Emotional Atyachar,No
Mohit Ahlawat,Shiva,Yes
Mohit Chauhan,Second Marriage Dot Com,Yes
Mohit Sharma,Dimaag Ki Dahi,Yes
Mohsin,Mumbai Mast Kallander,Yes
Mohsin Khan,Love In Japan,No
Monali Thakur,Lakshmi,Yes
Monalisa,Bobby - Love & Lust,No
Monalisa,Ek Hi Bhool,No
Monalisa,Ek Chatur Naar,No
Mrinal Kulkarni,The Quest,No
Mrunmayee Lagoo,Hello Zindagi,Yes
Mukesh R.K. Chouksey,Young - The Powerful Blood,Yes
Mukesh R.K. Chouksey,Tantiya Bheel,No
Mukesh Tiwari,Chutki Bajaa Ke,No
Mukesh Vyas,Emptiness Tere Bina,Yes
Munish Khan,Payback,Yes
Munsif Qureshi,Abhi To Raat Hai,Yes
Mustafa Burmawalla,Machine,Yes
Muzahid Khan,Rang-E-Ishq,Yes
Muzammil Ibrahim,Dhokha,Yes
Nafe Khan,The Untold Story Aahinsa,Yes
Nakul Vaid,Mohandas,No
Nana Patekar,Ab Tak Chhappan 2,No
Nana Patekar,Yatra,No
Nana Patekar,Tum Milo Toh Sahi,No
Nana Patekar,The Attacks Of 26/11,No
Nana Patekar,Shagird,No
Nandita Das,Ek Alag Mausam,No
Narayan Singh Sisodia,Maharana Pratap - The First Freedom Fighter,Yes
Nargis Bagheri,Pranali - The Tradition,Yes
Narinder Samra,Land Gold Women,Yes
Naseer Khan,Shadow,Yes
Naseeruddin Shah,Ishqiya,No
Naseeruddin Shah,Dedh Ishqiya,No
Naseeruddin Shah,Waiting,No
Naseeruddin Shah,Irada,No
Naseeruddin Shah,Chaalis Chauraasi,No
Naseeruddin Shah,Maximum,No
Naseeruddin Shah,Sona Spa,No
Naseeruddin Shah,Charlie Kay Chakkar Mein,No
Naseeruddin Shah,Firaaq,No
Naseeruddin Shah,A Wednesday!,No
Naseeruddin Shah,Parzania,No
Naseeruddin Shah,Barah Aana,No
Naseeruddin Shah,Maharathi,No
Nassar Abdulla,Men Not Allowed,Yes
Nataliya Kozhenova,Anjunaa Beach,Yes
Natasha Sikka,The Dark Secrets Of Tonhi,Yes
Navdip Singh,Khwaabb,Yes
Naveen Kasturia,Sulemani Keeda,Yes
Navin Prabhakar,Bhavnao Ko Samjho,Yes
Nawazuddin Siddiqui,Monsoon Shootout,No
Nawazuddin Siddiqui,Gangs Of Wasseypur 2,Yes
Nawazuddin Siddiqui,Raman Raghav 2.0,No
Nawazuddin Siddiqui,Manjhi - The Mountain Man,No
Nawazuddin Siddiqui,Babumoshai Bandookbaaz,No
Nawazuddin Siddiqui,Haraamkhor,No
Nawazuddin Siddiqui,Freaky Ali,No
Neha Dhupia,Sheesha,No
Neha Dhupia,Siskiyaan,No
Neha Dhupia,Gandhi To Hitler,No
Neha Sharma,Tum Bin 2,No
Neil Nitin Mukesh,Aa Dekhen Zara,No
Neil Nitin Mukesh,Jail,No
Neil Nitin Mukesh,Lafangey Parindey,No
Neil Nitin Mukesh,3G,No
Neil Nitin Mukesh,Johnny Gaddaar,Yes
Neil Nitin Mukesh,Shortcut Romeo,No
Nidhi Gill,Bipasha - The Black Beauty,Yes
Nikhil Dwivedi,My Name is Anthony Gonsalves,Yes
Nilesh Kumar,Jaisi Karni Waisi Bharni,Yes
Nilesh Sahay,Angel,Yes
Nilu Thakur,Yeh Metro Zindagi,Yes
Nisha Triloki,Ek Thee Sanam,Yes
Nishan Nanaiah,Badlapur Boys,No
Nishan Nanaiah,Cycle Kick,No
Nishant Dahiya,Titoo MBA,No
Nishant Sharma,Wah Re Ye Duniya,Yes
Nishi Verma,Shraddha Shakti Jai Ambe Maa,No
Nishigandha Wad,In The Name Of.. Tai - Tai Ke Naam,No
Nithiin,Agyaat,Yes
Nitika Sharma,Love U Crazy Girl,Yes
Om Puri,Khap,No
Om Puri,Uvaa,No
Om Puri,Na Ghar Ke Na Ghaat Ke,No
Om Puri,Panga Naa Lo,No
Om Puri,Khallas,No
Om Puri,The Hangman,No
Omkar Das Manikpuri,Peepli [Live],Yes
Omkar Das Manikpuri,Munna Mange Memsaab,No
Omkar Das Manikpuri,Ebn-E-Batuta,No
Pankaj Badra,Shivam,Yes
Pankaj Kapoor,Dharm,No
Pankaj Kapoor,Chala Mussaddi - Office Office,No
Pankaj Kapoor,The Blue Umbrella,No
Paoli Dam,Hate Story,Yes
Paras Chhabra,M3 - Midsummer Midnight Mumbai,Yes
Paresh Rawal,Road  To Sangam,No
Paresh Rawal,Dharam Sankat Mein,No
Paresh Rawal,Yun Hota Toh Kya Hota,No
Paresh Rawal,Buddha Mar Gaya,No
Paritosh Goswami,Kabhi Yun Bhi Toh Ho...,Yes
Parmeet Sethi,Vighnaharta Shree Siddhivinayak,No
Parmita Katkar,Husn - Love & Betrayal,Yes
Partho A. Gupte,Stanley Ka Dabba,Yes
Parvathy Omanakuttan,United Six,Yes
Parvin Dabas,Sahi Dhandhe Galat Bande,No
Parzan Dastur,Sikandar,Yes
Patralekha,Love Games,No
Payal Rohatgi,Chetna - The Excitement,No
Payal Rohatgi,Fun... Can Be Dangerous Sometimes,No
Payal Rohatgi,Mazaa Mazaa...,No
Payal Rohatgi,Laila - A Mystery,No
Phool Singh,Hey Bholenath,Yes
Piu Chauhan,Haunted Child,No
Poonam Dasgupta,Khandala House,No
Poonam Pandey,Nasha,Yes
Prabhas,Bahubali - The Beginning,Yes
Prabhas,Bahubali 2 - The Conclusion,No
Prabhu Deva,Tutak Tutak Tutiya,No
Prabhu Deva,ABCD - Any Body Can Dance,No
Prajakt Rebeloma,Last Benchers,Yes
Prakash Sagar,Yeh Pal Ho Na Ho... Kal,Yes
Prakash Sagar,Qayamat Hi Qayamat,No
Prashant Narayanan,Mr. Singh Mrs. Mehta,No
Prateik Babbar,Ekk Deewana Tha,No
Prateik Babbar,Issaq,No
Prateik Babbar,My Friend Pinto,Yes
Pravin Dabbas,Jalpari - The Desert Mermaid,No
Preeti Jhangiani,With Luv... Tumhaara,No
Preity Zinta,Videsh,No
Preity Zinta,Ishkq In Paris,No
Prince Amit,Needar - The Fearless,Yes
Prithvi Soni,Om Shanti - Fight For Peace,Yes
Pritika Chawla,Shahrukh Bola Kubsoorat Hai Tu,Yes
Priya Singh,Mere Gharib Nawaz,Yes
Priyanka,Sunsaan Mahal,Yes
Priyanka Chopra,What's Your Raashee,No
Priyanka Chopra,Pyaar Impossible!,No
Priyanka Chopra,Fashion,No
Priyanka Chopra,Mary Kom,No
Priyanka Chopra,Jai Gangaajal,No
Priyanka Chopra,7 Khoon Maaf,No
Priyanshu Chatterjee,Koi Mere Dil Mein Hai,No
Priyanshu Chatterjee,Utthaan,No
Pulkit Samrat,Sanam Re,No
Pulkit Samrat,Fukrey,No
Pulkit Samrat,Fukrey Returns,No
Pulkit Samrat,Bittoo Boss,Yes
Pulkit Samrat,O Teri,No
Pulkit Samrat,Junooniyat,No
Puneet Singh Ratn,Satya 2,Yes
Purab Kohli,Turning 30!!!,No
Purab Kohli,Jal,No
Purab Kohli,Kaun Ho Sakta Hai?,No
Purab Kohli,Hide & Seek,No
Purav Bhandare,Tahaan,Yes
Puru Chibber,Meinu Ek Ladki Chaahiye,Yes
Pushkar Jog,Huff! It's Too Much,Yes
R. Madhavan,Tanu Weds Manu,No
R. Madhavan,Tanu Weds Manu Returns,No
R. Madhavan,Jodi Breakers,No
R. Madhavan,Ramji Londonwaley,No
Sachin Tendulkar,Sachin - A Billion Dreams,Yes
R. Madhavan,13B,No
Raai Laxmi,Julie 2,Yes
Radhika Apte,Parched,No
Radhika Apte,Phobia,No
Rafiq Batcha,Mumbhai Connection,Yes
Raghuvir Yadav,Le Gaya Saddam,No
Raghuvir Yadav,Azaan - The Awakening Call,No
Rahil Tandon,Chal Pichchur Banate Hain,No
Rahul,Mumbai Aadhi Raat Mein,No
Rahul,Yeh Hai U Turn,No
Rahul Bagga,Mastram,Yes
Rahul Bose,The Japanese Wife,No
Rahul Bose,Kucch Luv Jaisa,No
Rahul Bose,Chain Kulii Ki Main Kulii,No
Rahul Bose,Pyaar Ke Side Effects,No
Rahul Bose,Shaurya,No
Rahul Bose,White Noise,No
Rahul Khanna,Dil Kabaddi,No
Rahul Khanna,Raqeeb,No
Rahul Khanna,Fireflies,No
Rahul Pendkalkar,My Friend Ganesha 3,Yes
Rahul Roy,Crime Partner,No
Rahul Roy,Meri Aashiqui,No
Rahul Roy,Naughty Boy,No
Rahul Roy,Phir Tauba Tauba,No
Rahul Roy,Don't Break My Heart - Her Story,No
Rahul Singh,Kachchi Sadak,Yes
Rahul Sood,Thore - Keep Distance,Yes
Raj Babbar,Haseena,No
Raj Gautam,Hot Mashooka - A Dangerous Lover,No
Raj Rajawat,Kaamguru,Yes
Raj Rajawat,Mastani Bhabhi,Yes
Raj Singh Chaudhary,The Waiting Room,No
Raj Singh Chaudhary,Antardwand,No
Raj Tandon,Yeh Khula Aasman,Yes
Raj Tara,Eight - Shani,Yes
Raj Verma,13 May Gulabi Nagar,Yes
Raj Zutshi,Take It Easy,No
Rajan Verma,Jai Jagdambey Maa,Yes
Rajan Verma,Ashok Chakra Tribute To Real Heroes,No
Rajat Bedi,Dhamkee - The Extortion,No
Rajat Kapoor,...And Once Again,No
Rajat Kapoor,Siddharth - The Prisoner,No
Rajat Kapoor,Raat Gayi Baat Gayi,No
Rajat Kapoor,I Am 24,No
Rajat Kapoor,10ml Love,No
Rajat Kapoor,Phas Gaye Re Obama,No
Rajbeer Singh,Who's There? Kaun Hai Wah?,Yes
Rajeev Khandelwal,Table No. 21,No
Rajeev Khandelwal,Ishq Actually,No
Rajeev Khandelwal,Shaitan,No
Rajeev Khandelwal,Samrat & Co.,No
Rajeev Khandelwal,Soundtrack,No
Rajeev Khandelwal,Aamir,Yes
Rajeev Raj,Tera Pati Mera Pyar,No
Rajeev Verma,Radha Ne Mala Japi Shyam Ki,No
Rajendraprasad,Quick Gun Murugun,Yes
Rajesh Bhardwaj,Hair Is Falling,Yes
Rajesh Khanna,Do Dilon Ke Khel Mein,No
Rajesh Khanna,Riyasat,No
Rajesh Khanna,Kaashh....Mere Hote,No
Rajesh Khanna,Wafaa,No
Rajesh Kumar,Men Will Be Men,No
Rajesh Pathak,Jai Mahalaxmi,Yes
Rajesh Sabharwal,Jism Farosh,No
Rajesh Sabharwal,Namkeen,No
Rajesh Shringharpure,The Night Of The Interview,No
Rajesh Tiwari,Beehad - The Ravine,No
Raji James,The Unforgettable,Yes
Rajit Kapoor,Blue Oranges,No
Rajiv Roda,Kya Yahi Sach Hai,Yes
Rajkummar Rao,Behen Hogi Teri,No
Rajkummar Rao,Boyss Toh Boyss Hain,No
Rajkummar Rao,Love Sex Aur Dhokha,Yes
Rajkummar Rao,Citylights,No
Rajkummar Rao,Ragini MMS,No
Rajkummar Rao,Shaadi Mein Zaroor Aana,No
Rajkummar Rao,Trapped,No
Rajneesh Duggal,Be Careful,No
Rajneesh Duggal,Phhir,No
Rajneesh Duggal,Spark,No
Rajneesh Duggal,1920,Yes
Rajpal Yadav,Undertrial,No
Rajpal Yadav,Main Meri Patni Aur Woh,No
Rajpal Yadav,Rama Rama Kya Hai Drama,No
Rajpal Yadav,Hello Hum Lallann Bol Rahe Hain,No
Rajpal Yadav,Ata Pata Laapata,No
Rajpal Yadav,Hai Golmaal In White House,No
Rajpal Yadav,Kushti,No
Rajpal Yadav,Ladies Tailor,No
Rajpal Yadav,Masti Express,No
Rajveer Dutt,Kaisay Kahein,Yes
Rajveer Sharma,Ruslaan,Yes
Rakesh,Ek Zakhm - The Blast,Yes
Rakesh Bapat,Jai Santoshi Maa,No
Rakesh Bapat,Jaadu Sa Chal Gaya,No
Rakhi Vohra,My Husband's Wife,Yes
Ram Charan,Zanjeer,Yes
Ramesh Goyal,Victoria House,No
Ranbir Kapoor,Besharam,No
Ranbir Kapoor,Barfi!,No
Ranbir Kapoor,Jagga Jasoos,No
Ranbir Kapoor,Bombay Velvet,No
Ranbir Kapoor,Wake Up Sid,No
Ranbir Kapoor,Yeh Jawaani Hai Deewani,No
Ranbir Kapoor,Rockstar,No
Ranbir Kapoor,Tamasha,No
Ranbir Kapoor,Ae Dil Hai Mushkil,No
Ranbir Kapoor,Chillar Party,No
Ranbir Kapoor,Raajneeti,No
Ranbir Kapoor,Ajab Prem Ki Ghazab Kahani,No
Ranbir Kapoor,Saawariya,Yes
Ranbir Kapoor,Rocket Singh: Salesman Of The Year,No
Ranbir Kapoor,Bachna Ae Haseeno,No
Ranbir Kapoor,Anjaana Anjaani,No
Ranbir Kapoor,Roy,No
Randeep Hooda,John Day,No
Randeep Hooda,Ru-Ba-Ru,No
Randeep Hooda,Do Lafzon Ki Kahani,No
Randeep Hooda,Highway,No
Randeep Hooda,Mere Khwabon Mein Jo Aaye,No
Randeep Hooda,Karma Aur Holi,No
Randeep Hooda,Main Aur Charles,No
Randeep Hooda,Love Khichdi,No
Randeep Hooda,Laal Rang,No
Randeep Hooda,Murder 3,No
Randeep Hooda,D,Yes
Randeep Hooda,Risk,No
Rani Mukherjee,Bombay Talkies,No
Rani Mukherjee,Laaga Chunari Mein Daag,No
Rani Mukherjee,Mardaani,No
Rani Mukherjee,Aiyyaa,No
Rannvijay Singh,Toss,Yes
Rannvijay Singh,3:00 AM,No
Ranveer Singh,Befikre,No
Ranveer Singh,Gunday,No
Ranveer Singh,Band Baaja Baaraat,Yes
Ranveer Singh,Ladies vs Ricky Bahl,No
Ranveer Singh,Goliyon Ki Raasleela Ram - Leela,No
Ranveer Singh,Bajirao Mastani,No
Ranveer Singh,Kill Dil,No
Ranveer Singh,Lootera,No
Ranveer Singh,Dil Dhadakne Do,No
Ranvir Shorey,Mixed Doubles,No
Ranvir Shorey,Mithya,No
Ranvir Shorey,Fatso,No
Rashmi Somvanshi,Kahani Ek Devi Ki...,Yes
Rasika Dugal,Kshay,Yes
Raveena Tandon,Maatr,No
Ravi Ahlawat,Parveen Bobby,Yes
Ravi Arora,Sweet Love,Yes
Ravi Kapoor,World Cupp 2011,Yes
Ravi Kissen,Raja Bhai Lagey Raho,No
Ravi Kissen,Jeena Hai Toh Thok Daal,No
Ravi Kissen,Chitkabrey,No
Ravish Pandey,Ek Baar Aao Na,Yes
Raza Murad,Khwaja Mere Khwaja,No
Rehaan Khan,Ek Baar Maza Lijiye,Yes
Rehal Khan,18.11 A Code Of Secrecy...!,Yes
Rehan Khan,Jaana... Lets Fall In Love,Yes
Rekha,Super Nani,No
Rekha,Detective Naani,No
Rekha Gautam,Swarg Aashram,Yes
Rekha Rana,Tara - The Journey Of Love & Passion,No
Reshma Singh,Teesra Shabd,Yes
Richa Chaddha,Tamanchey,No
Rikkee,Swaha,Yes
Rishabh,Jeena To Hai,No
Rishi Bhutani,Bolo Raam,Yes
Rishi Kapoor,Love Ke Chakkar Mein...,No
Rishi Kapoor,Do Dooni Chaar,No
Rishi Kapoor,Pyaar Mein Twist,No
Rishi Kapoor,Chintuji,No
Rishi Kapoor,Patel Ki Punjabi Shaadi,No
Rishi Rehan,Khushboo,Yes
Rishi Verma,Ishq Ke Parindey,Yes
Rita S. Roy,Naari Teri Shakti Anokhi,Yes
Riteish Deshmukh,De Taali,No
Riteish Deshmukh,Dhamaal,No
Riteish Deshmukh,Grand Masti,No
Riteish Deshmukh,Great Grand Masti,No
Riteish Deshmukh,Bangistan,No
Riteish Deshmukh,Tere Naal Love Ho Gaya,No
Riteish Deshmukh,Jaane Kahan Se Aayi Hai,No
Riteish Deshmukh,Malamaal Weekly,No
Riteish Deshmukh,Apna Sapna Money Money,No
Riteish Deshmukh,Aladin,No
Riteish Deshmukh,Kal Kissne Dekha,No
Ritesh Raghuvanshi,Mahidpur 0 K.M.,Yes
Rituparna Sengupta,Life Express,No
Rituparna Sengupta,Calapor,No
Riya Sen,A Strange Love Story,No
Riya Vij,Gippi,Yes
Rohan Jardosh,Amdavad Junction,Yes
Rohit Roy,Mittal Vs Mittal,No
Romit Raaj,Hum Dum,Yes
Ronak Bhatia,2 Little Indians,Yes
Ronit Roy,Ugly,No
Ronit Roy,Udaan,No
Roopa Ganguly,Chowrasta - Crossroads Of Love,No
Ruslan Mumtaz,I Don't Luv U,No
Ruslan Mumtaz,MP3 - Mera Pehla Pehla Pyaar,Yes
Ruslan Mumtaz,Teree Sang,No
R. Madhavan,Saala Khadoos,No
Saahib,Chand Ke Paar Chalo,Yes
Sachiin Joshi,Mumbai Mirror,No
Sachiin Joshi,Jackpot,No
Sachiin Joshi,Aazaan,Yes
Sachin,Jaana Pehchana,No
Sachin Khedekar,Chhodo Kal Ki Baatein,No
Sachin Khedekar,Bose - The Forgotten Hero,No
Saagar Bhatia,Mobile Phone,Yes
Sachit Patil,Sab Kuch Nahin Kuch Bhi Nahin,No
Sadashiv Amrapurkar,Siyasat - The Politics,No
Sagar,The Hero - Abhimanyu,No
Sahil Anand,Babloo Happy Hai,Yes
Sahil Khan,Ramaa - The Saviour,No
Sahil Khan,Double Cross - Ek Dhoka,No
Sahil Mehta,Love Express,Yes
Sahil Pathan,Anna Ka Andolan,Yes
Sahil Prem,M.A.D - Mad About Dance,Yes
Saif Ali Khan,Race,No
Saif Ali Khan,Race 2,No
Saif Ali Khan,Being Cyrus,No
Saif Ali Khan,Cocktail,No
Saif Ali Khan,Love Aaj Kal,No
Saif Ali Khan,Phantom,No
Saif Ali Khan,Thoda Pyaar Thoda Magic,No
Harshvardhan Rane,Sanam Teri Kasam,No
Saif Ali Khan,Parineeta,No
Saif Ali Khan,Aarakshan,No
Saif Ali Khan,Go Goa Gone,No
Saif Ali Khan,Happy Ending,No
Saif Ali Khan,Chef,No
Saif Ali Khan,Kurbaan,No
Saif Ali Khan,Humshakals,No
Saif Ali Khan,Salaam Namaste,No
Saif Ali Khan,Ta Ra Rum Pum,No
Saif Ali Khan,Agent Vinod,No
Saif Ali Khan,Bullet Raja,No
Sail Hasan,Yeh Ishq.....Nahin,Yes
Saksham Kulkarni,Life Mein Hungama Hai,Yes
Saleem Ahmed,Software Hardware Kya Yaaron,Yes
Saleem Ansari,Laal Kranti,Yes
Salim Gaur,Petrol,Yes
Salman Khan,Dabangg,No
Salman Khan,Sultan,No
Salman Khan,Tiger Zinda Hai,No
Salman Khan,Ready,No
Salman Khan,Veer,No
Salman Khan,Dabangg 2,No
Salman Khan,Maine Pyaar Kyun Kiya?,No
Salman Khan,Partner,No
Salman Khan,Shaadi Karke Phas Gaya Yaar,No
Salman Khan,Ek Tha Tiger,No
Salman Khan,Bajrangi Bhaijaan,No
Salman Khan,Tubelight,No
Salman Khan,Salaam-E-Ishq,No
Salman Khan,Wanted,No
Salman Khan,Main Aurr Mrs. Khanna,No
Salman Khan,Kyon Ki,No
Salman Khan,Baabul,No
Salman Khan,God Tussi Great Ho,No
Salman Khan,Saawan... The Love Season,No
Salman Khan,Kick,No
Salman Khan,Bodyguard,No
Salman Khan,Jai Ho,No
Salman Khan,Prem Ratan Dhan Payo,No
Salman Khan,Yuvvraaj,No
Salman Khan,Lucky - No Time for Love,No
Salman Khan,London Dreams,No
Salman Khan,Marigold,No
Samapika,Riwayat,Yes
Sameer Aftab,Bas Ek Tamanna,No
Sameer Dattani,Mukhbiir,No
Sameer Dattani,Love Kaa Tadka,No
Abhishek Bachchan,Game,No
Sameer Dharmadhikari,Nigehbaan - The Third Eye,No
Sameer Dharmadhikari,Rafta Rafta - The Speed,No
Sameer Dharmadhikari,Madhubaala,No
Sameer Sarkit,Main Hoon Kharidaar,Yes
Samir Aftab,Krantiveer - The Revolution,No
Samir Aftab,Chand Sa Roshan Chehra,Yes
Samir Kochhar,Bold,Yes
Samir Kochhar,Ek Se Mera Kya Hoga,No
Sanam Khan,31st Night,Yes
Sandeep Bharadwaj,Veerappan,Yes
Sandeep Kulkarni,Bandaa,No
Sandhya Mridul,The Great Indian Butterfly,No
Sangram Singh,Valentines's Night,Yes
Sanjay Dutt,Mehbooba,No
Sanjay Dutt,Nehlle Pe Dehlla,No
Sanjay Dutt,Chatur Singh Two Star,No
Sanjay Dutt,Zilla Ghaziabad,No
Sanjay Dutt,Dus,No
Sanjay Dutt,Tathastu,No
Sanjay Dutt,Double Dhamaal,No
Sanjay Dutt,Policegiri,No
Sanjay Dutt,Shabd,No
Sanjay Dutt,Knock Out,No
Sanjay Dutt,Bhoomi,No
Sanjay Dutt,Lamhaa,No
