Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Revenue(INR),Budget(INR)
Phir Aik Saazish,Normal,No,No,thriller,No,Yes,Yes,Dilzan Wadia,Shyam Shah,Shahank Phadnis,100,9000000,2300000
What The Fish,Normal,No,No,comedy,No,Yes,Yes,Dimple Kapadia,Gurmmeet Singh,Amartya Rahut,350,45000000,9800000
Har Raat Naya Saudagar,Normal,No,No,drama,No,No,Yes,Dimple Sevak,Irfan,John T. Hunt,1,1500000,950000
Maya Ya Maut,Holiday,No,No,adult,Yes,No,No,Dinesh Mehta,K. Bhushan,Abhi - Raj,2,2000000,650000
Anamika,Normal,No,No,thriller,No,No,No,Dino Morea,Anant Mahadevan,Anu Malik,75,32500000,2450000
Tom Dick and Harry,Holiday,No,No,comedy,No,No,No,Dino Morea,Deepak Tijori,Himesh Reshammiya,275,75000000,135150000
Gumnaam - The Mystery,Normal,No,No,suspense,No,Yes,No,Dino Morea,Neeraj Pathak,Nadeem - Shravan,70,32500000,3150000
Bhram,Holiday,No,No,thriller,No,No,No,Dino Morea,Pawan Kaul,Pritam,250,60000000,5300000
Holiday,Holiday,No,No,drama,No,No,No,Dino Morea,Pooja Bhatt,Ranjit Barot,100,35000000,11200000
Life Mein Kabhi Kabhiee,Holiday,No,No,drama,No,No,Yes,Dino Morea,Vikram Bhatt,Lalit Pandit,110,50000000,10500000
Anuradha - Aur Uski Kahaani,Normal,No,No,drama,Yes,No,Yes,Disha Chaudhary,Raju Mavani,Farzan Faaiz,100,17500000,675000
Pehli Nazar Ka Pyaar,Normal,No,No,love_story,No,No,No,Divvj Kak,Arshad Khan,Ali Ghani,7,7500000,325000
Saathi - The Companion,Holiday,No,No,drama,Yes,Yes,No,Divvj Kak,Faiz Anwar,Nikhil - Vinay,5,6000000,350000
Kahaani Gudiya Ki...,Normal,No,No,drama,No,Yes,Yes,Divya Dutta,Prabhakar Shukla,Vivek Prakash,3,3000000,80000
Monica,Normal,No,No,thriller,No,No,Yes,Divya Dutta,Sushen Bhatnagar,Raju Rao,100,45000000,2850000
Shobhayatra,Normal,No,No,comedy,No,Yes,No,Divya Dutta,Vijay Ghatge,Taufiq Qureshi,5,5000000,42500
Lucky Kabootar,Holiday,No,No,rom__com,No,Yes,No,Eijaz Khan,Shammi Chhabra,Santokh Singh,375,70000000,4200000
Tell Me O Kkhuda,Holiday,No,No,drama,Yes,Yes,No,Eisha Deol,Hema Malini,Pritam,325,160000000,12300000
Aashiq Banaye Aapne,Normal,No,No,love_story,No,Yes,No,Emraan Hashmi,Aaditya Datt,Himesh Reshammiya,225,45000000,93225000
Dil Diya Hai,Normal,No,No,thriller,No,No,No,Emraan Hashmi,Aaditya Datt,Himesh Reshammiya,225,85000000,32500000
Aksar,Normal,No,No,thriller,No,No,No,Emraan Hashmi,Anant Mahadevan,Himesh Reshammiya,325,52500000,121800000
Azhar,Normal,No,No,drama,No,No,No,Emraan Hashmi,Anthony D'Souza,Amal Malik,2100,400000000,499390000
Gangster - A Love Story,Holiday,No,No,love_story,No,No,No,Emraan Hashmi,Anurag Basu,Pritam,300,65000000,179300000
Good Boy Bad Boy,Normal,No,No,comedy,No,No,No,Emraan Hashmi,Ashwini Chaudhary,Himesh Reshammiya,525,125000000,103268750
Shanghai,Normal,No,No,thriller,No,No,Yes,Emraan Hashmi,Dibakar Banerjee, Vishal - Shekhar,975,230000000,349650000
Jannat,Normal,No,No,drama,No,Yes,Yes,Emraan Hashmi,Kunal Deshmukh,Kamran Ahmed,825,100000000,415700000
Tum Mile,Normal,No,No,love_story,No,No,No,Emraan Hashmi,Kunal Deshmukh,Pritam,675,220000000,134600000
Jannat 2,Holiday,No,Yes,thriller,No,No,No,Emraan Hashmi,Kunal Deshmukh,Pritam,2050,200000000,630910000
Raja Natwarlal,Holiday,No,No,thriller,No,No,Yes,Emraan Hashmi,Kunal Deshmukh,Yuvan Shankar Raja,1950,470000000,390095000
Jawani Diwani - A Youtful Joyride,Normal,No,No,comedy,No,Yes,No,Emraan Hashmi,Manish Sharma,Sajid - Wajid,275,47500000,67554000
Zeher,Holiday,Yes,No,thriller,No,Yes,No,Emraan Hashmi,Mohit Suri,Roop Kumar Rathod,275,50000000,110631250
Awarapan,Normal,Yes,No,drama,No,No,No,Emraan Hashmi,Mohit Suri,Pritam,375,180000000,122575000
Raaz - The Mystery Continues,Holiday,No,Yes,horror,No,No,Yes,Emraan Hashmi,Mohit Suri,Toshi - Sharib,1150,180000000,380900000
Crook,Normal,No,No,action,No,No,No,Emraan Hashmi,Mohit Suri,Pritam,1050,230000000,150410000
Murder 2,Normal,No,Yes,thriller,No,No,No,Emraan Hashmi,Mohit Suri,Mithoon,1300,130000000,678450000
Hamari Adhuri Kahani,Normal,No,No,love_story,No,No,No,Emraan Hashmi,Mohit Suri,Mithoon,1750,400000000,518720000
Ghanchakkar,Normal,No,No,comedy,No,No,No,Emraan Hashmi,Raj Kumar Gupta,Amit Trivedi,1450,290000000,449915000
The Killer,Normal,No,No,thriller,No,Yes,No,Emraan Hashmi,Raksha Mistry,Sajid - Wajid,250,72500000,65379000
The Train,Normal,Yes,No,thriller,No,No,Yes,Emraan Hashmi,Raksha Mistry,Mithoon,325,77500000,71718750
Ungli,Normal,No,No,drama,No,No,No,Emraan Hashmi,Renzil D'Silva,Gulraj Singh,1800,390000000,249657500
Rush,Holiday,No,No,thriller,No,Yes,No,Emraan Hashmi,Shamin Desai,Pritam,800,180000000,45400000
Raaz 3,Normal,No,Yes,horror,No,No,Yes,Emraan Hashmi,Vikram Bhatt,Rashid Khan,2100,310000000,952662500
Mr. X,Normal,No,No,fantasy,No,No,No,Emraan Hashmi,Vikram Bhatt,Jeet Ganguly,2100,370000000,297362500
Raaz Reboot,Normal,No,Yes,horror,No,No,No,Emraan Hashmi,Vikram Bhatt,Sangeet - Siddharth,1700,310000000,369650000
Chocolate,Normal,No,No,thriller,No,Yes,No,Emraan Hashmi,Vivek Agnihotri,Pritam,255,90000000,103520000
Siyaah,Normal,No,No,horror,Yes,Yes,Yes,Faheem Ul Haq,Aziz Naser,Rajesh S.S,50,12500000,1350000
Chand Bujh Gaya,Normal,No,No,love_story,No,Yes,Yes,Faisal Khan,Sharique Minhaz,Ali Ghani,20,17500000,1552500
Shaadi No. 1,Holiday,No,No,comedy,No,No,No,Fardeen Khan,David Dhawan,Anu Malik,425,150000000,204932500
Just Married,Holiday,No,No,rom__com,No,No,No,Fardeen Khan,Meghna Gulzar,Pritam,250,80000000,62120000
Dulha Mil Gaya,Normal,No,No,rom__com,No,Yes,No,Fardeen Khan,Mudassar Aziz,Pritam,550,220000000,64850000
Jai Veeru,Normal,No,No,action,No,No,No,Fardeen Khan,Puneet Sira,Bappa Lahiri,475,150000000,38000000
Darling,Normal,No,No,drama,No,No,No,Fardeen Khan,Ram Gopal Verma,Pritam,240,65000000,47482500
Ek Khiladi Ek Haseena,Normal,No,No,thriller,No,Yes,No,Fardeen Khan,Suparn Verma,Pritam,300,57500000,78866250
Acid Factory,Normal,Yes,No,thriller,No,No,Yes,Fardeen Khan,Suparn Verma,Manasi Scott,850,210000000,52000000
Rock On!!,Normal,No,No,drama,Yes,No,No,Farhan Akhtar,Abhishek Kapoor,Shankar - Ehsaan - Loy,400,190000000,360937500
Wazir,Normal,No,No,thriller,No,No,Yes,Farhan Akhtar,Bejoy Nambiar,Gaurav Godkhindi,1550,360000000,757515000
Bhaag Milkha Bhaag,Normal,No,No,drama,No,No,No,Farhan Akhtar,Rakesh Omprakash Mehra,Shankar - Ehsaan - Loy,1650,530000000,1637800000
Lucknow Central,Normal,No,No,drama,No,Yes,No,Farhan Akhtar,Ranjit Tiwari,Rochak Kohli,1250,300000000,179356250
Shaadi Ke Side Effects,Normal,No,Yes,rom__com,No,No,No,Farhan Akhtar,Saket Chaudhary,Pritam,1900,430000000,696300000
Rock On 2,Holiday,No,Yes,drama,No,Yes,No,Farhan Akhtar,Shujaat Saudagar,Shankar - Ehsaan - Loy,1450,450000000,177600000
Karthik Calling Karthik,Holiday,No,No,thriller,No,Yes,No,Farhan Akhtar,Vijay Lalwani,Shankar - Ehsaan - Loy,850,200000000,282200000
Luck By Chance,Holiday,No,No,drama,No,Yes,No,Farhan Akhtar,Zoya Akhtar,Shankar - Ehsaan - Loy,600,180000000,216075000
Children Of War,Normal,No,No,drama,No,Yes,Yes,Farooque Shaikh,Mrityunjay Devvrat,Sidhant Mathur,275,90000000,7500000
Lahore,Normal,No,No,drama,No,Yes,No,Farooque Shaikh,Sanjay Puran Singh Chauhan,M.M. Kreem,325,95000000,12100000
Barefoot To Goa,Normal,No,No,drama,Yes,Yes,Yes,Farrukh Jaffar,Praveen Morchhale,Rohit Sharma,25,6000000,420000
Main Hoon Durga,Normal,No,No,action,Yes,Yes,No,Fatima,A. Rajesh,Ravindra Jain,20,7000000,650000
Khoobsurat,Normal,No,No,rom__com,Yes,No,No,Fawad Khan,Shashanka Ghosh,Sneha Khanwalkar,1150,230000000,506715000
Aaj Ka Fashion Trend,Normal,No,No,drama,Yes,Yes,Yes,Gagan Nimesh,Jaganath S.R.,Lava Kumar S.R.,10,2000000,140000
Tum Ho Yaara,Normal,No,No,drama,Yes,Yes,No,Ganesh Venkatraman,Natty Kumar,Faizan Hussain,5,6000000,550000
Na Jaane Kabse,Normal,No,No,rom__com,Yes,Yes,Yes,Garry Gill,Pammi Somal,Jatin Pandit,75,30000000,750000
Muskurake Dekh Zara,Normal,No,No,rom__com,Yes,Yes,No,Gashmeer Mahajani,P. Som Shekar,Ranjit Barot,175,35000000,2900000
Vroom,Normal,No,No,comedy,Yes,Yes,No,Gaurav Bajaj,Savin Tuscano,Sanjoy Chowdhary,75,40000000,750000
Hota Hai Dil Pyaar Mein Paagal,Holiday,No,No,love_story,Yes,No,Yes,Gaurav Kakkar,Mahesh Kapoor,Ali Vasudev,5,10000000,175000
Bad Luck Govind,Normal,No,No,comedy,No,No,No,Gaurav Kapur,Varun Khanna,Anu Malik,65,37500000,975000
Bhooton Ki Raasleela,Normal,No,No,adult,Yes,Yes,Yes,Gauri Angel,Shravan Jain,Munni Raj,1,2000000,500000
Go,Normal,No,No,drama,Yes,No,Yes,Gautam Gupta,Manish Shrivastava,Sneha Khanwalkar,210,55000000,20600000
Shoot At Sight,Holiday,No,No,thriller,Yes,No,No,Gautam Jadhav,Harish Bhonsle,Madhu Bhosle,4,1000000,87000
Let's Dance,Normal,No,No,drama,Yes,Yes,Yes,Gayatri Patel,Aarif Sheikh,Vipin Mishra,70,45000000,750000
Will To Live,Holiday,No,No,drama,Yes,Yes,No,Geoffrey Broderick,Charles Sleichter,Bappi Lahiri,10,5500000,55000
Ramaiya Vastavaiya,Normal,Yes,No,love_story,Yes,No,No,Girish Taurani,Prabhu Deva,Sachin - Jigar,1400,380000000,383420000
Loveshhuda,Holiday,No,No,rom__com,No,Yes,No,Girish Taurani,Vaibhav Misra,Mithoon,900,220000000,42912500
Sandwich,Holiday,No,No,comedy,No,No,No,Govinda,Anees Bazmee,Aadesh Shrivastava,90,100000000,6800000
Do Knot Disturb,Holiday,No,No,comedy,No,No,No,Govinda,David Dhawan,Nadeem - Shravan,1000,300000000,278900000
Money Hai Toh Honey Hai,Normal,No,No,comedy,No,No,Yes,Govinda,Ganesh Acharya,Sony Chandy,525,180000000,62625000
Khullam Khulla Pyaar Karen,Holiday,No,No,comedy,No,No,No,Govinda,Harmesh Malhotra,Anand - Milind,60,67500000,11787500
Naughty @ 40,Holiday,No,No,comedy,No,No,No,Govinda,Jag Mundhra,Monty Sharma,425,100000000,19400000
Jahan Jaaeyega Humen Paaeyega,Normal,No,No,drama,No,Yes,No,Govinda,Janmendra Ahuja,Aadesh Shrivastava,20,40000000,2150000
Deewana Main Deewana,Normal,No,No,love_story,No,No,No,Govinda,K.C. Bokadia,Bappi Lahiri,200,50000000,4400000
Ssukh,Normal,No,No,drama,No,No,Yes,Govinda,Kirti Kumar,Kamini Khanna,25,50000000,1250000
Loot,Holiday,No,No,comedy,No,Yes,No,Govinda,Rajnish Thakur,Shabbir Ahmed,625,150000000,44100000
Life Partner,Holiday,No,No,comedy,No,No,No,Govinda,Rumi Jaffery,Pritam,900,250000000,330220000
Chal Chala Chal,Holiday,No,No,comedy,No,No,No,Govinda,T.K. Rajiv Kumar,Anu Malik,150,80000000,17800000
Yehi Hai Zindagi,Normal,No,No,drama,No,No,Yes,Gracy Singh,Ajay Panesekar,Arvind Haldipur,25,10000000,2100000
Mahabharat Aur Barbareek,Normal,No,No,mythological,No,Yes,No,Gracy Singh,Dharmesh Tiwari,Ravindra Jain,15,17500000,1750000
Chanchal,Normal,No,No,drama,No,Yes,Yes,Gracy Singh,Indrajit Singh,Kuldeep Singh,2,10000000,142500
Dekh Re Dekh,Normal,No,No,comedy,No,Yes,Yes,Gracy Singh,Rahat Kazmi,Abu Zar,80,15000000,1425000
Milta Hai Chance By Chance,Holiday,No,No,love_story,No,No,Yes,Gracy Singh,Ramesh Modi,Jatin Pandit,20,15000000,310000
Aseema,Normal,No,No,drama,No,Yes,No,Gracy Singh,Sisir Mishra,Shamir Tandon,7,10000000,70000
Meri Marzi,Normal,No,No,drama,Yes,Yes,Yes,Guddi Maruti,Kuldeepak Bakshi,Ravee Jule,1,4000000,35000
Hello Darling,Normal,No,No,comedy,No,Yes,No,Gul Panag,Manoj Tiwari,Pritam,475,110000000,26200000
Red Light,Holiday,No,No,adult,No,No,Yes,Gulshan Rana,Suresh Jain,Shivam Bagchi,1,1500000,1400000
The Real Dream Girl,Normal,No,No,adult,No,No,No,Gulshan Rana,Suresh Jain,Shivam Farhaan,1,2000000,1100000
I Am Singh,Normal,No,No,drama,Yes,No,Yes,Gulzar Inder Chahal,Puneet Issar,Sudhakar Sharma,300,90000000,4350000
The Dirty MMS,Normal,No,No,adult,Yes,Yes,Yes,Gunj,Sudhir Pillai,Billu,2,2000000,1400000
Meri Shadi Karao,Normal,No,No,rom__com,Yes,Yes,Yes,Gurdeep Mehndi,Syed Noor,Daler Mehndi,90,22500000,2050000
MSG - The Warrior Lion Heart,Holiday,No,Yes,drama,No,Yes,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,450,180000000,176667500
Hind Ka Napak Ko Jawab - MSG Lion Heart-2,Holiday,No,Yes,action,No,No,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,525,120000000,143607000
Jattu Engineer,Normal,No,No,drama,No,No,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,200,90000000,99724500
MSG - The Messenger Of God,Holiday,No,No,drama,Yes,Yes,Yes,Gurmeet Ram Rahim Singh,Jeetu Arora,Gurmeet Ram Rahim Singh,650,300000000,168990000
MSG 2 - The Messenger,Normal,No,Yes,drama,Yes,Yes,Yes,Gurmeet Ram Rahim Singh,Jeetu Arora,Gurmeet Ram Rahim Singh,500,230000000,171772500
Banana Brothers,Normal,No,No,drama,Yes,Yes,Yes,Gursewak Mann,Girja Shankar,Jaidev Kumar,15,30000000,275000
Lateef - The King Of Crime,Normal,No,No,drama,Yes,Yes,Yes,Hameed Khan,Sharique Minhaj,C.P. Aslam,125,30000000,2200000
Bengaloored,Holiday,No,No,drama,Yes,Yes,Yes,Harish Raj,Swaroop Kanchi,Vasu Dixit,5,5000000,195000
Victory,Holiday,No,No,drama,No,Yes,No,Harman Baweja,Ajit Pal Mangat,Anu Malik,325,190000000,19235000
Love Story 2050,Holiday,No,No,fantasy,Yes,No,No,Harman Baweja,Harry Baweja,Anu Malik,900,400000000,184737500
Dishkiyaoon,Holiday,No,No,thriller,No,Yes,No,Harman Baweja,Sanamjit Talwar,Sneha Khanwalkar,1550,39000000,68872500
My Friend Ganesha 2,Holiday,No,Yes,drama,No,No,Yes,Harsh Chhaya,Rajiv S. Ruia,Vinay Kapadia,15,25000000,400000
I Am Kalam,Normal,No,No,drama,Yes,Yes,Yes,Harsh Mayar,Nila Madhab Panda,Susmit Bose,150,20000000,14200000
Jigariyaa,Holiday,No,No,love_story,Yes,No,Yes,Harshvardhan Deo,Raj Purohit,Raj - Prakash,350,60000000,2700000
Mirzya,Holiday,No,No,love_story,Yes,No,No,Harshvardhan Kapoor,Rakesh Omprakash Mehra,Shankar - Ehsaan - Loy,1750,630000000,134665000
Sanam Teri Kasam,Normal,No,No,love_story,Yes,No,No,Harshvardhan Rane,Lawrence D'Souza,Nadeem - Shravan,10,25000000,725000
Ek Thi Rani Aisi Bhi,Normal,No,No,drama,No,Yes,No,Hema Malini,Gul Bahar Singh,Hriju Roy,65,4000000,875000
2 Nights In Soul Valley,Holiday,No,No,horror,No,Yes,Yes,Hemant Pandey,Harish Sharma,Varsha,20,3000000,275000
Yaariyan,Normal,No,No,love_story,Yes,Yes,No,Himansh Kohli,Divya Khosla,Honey Singh,1400,210000000,524050000
Ranchi Diaries,Normal,No,No,drama,No,Yes,No,Himansh Kohli,Sattwik Mohanty,Jeet Ganguly,575,42500000,11100000
Login,Normal,No,No,thriller,Yes,Yes,Yes,Himanshu Bhatt,Sanjeev Reddy,Sunil Kashyap,10,20000000,275000
Rain,Holiday,No,No,thriller,No,No,Yes,Himanshu Malik,Amol Shetge,Satish - Ajay,45,12500000,9888000
The Xpose,Normal,No,No,thriller,No,No,No,Himesh Reshammiya,Anant Mahadevan,Himesh Reshammiya,1050,150000000,129600000
Radio,Normal,No,No,drama,No,No,No,Himesh Reshammiya,Ishaan Trivedi,Himesh Reshammiya,275,90000000,9700000
Kajraare,Holiday,No,No,love_story,No,No,No,Himesh Reshammiya,Pooja Bhatt,Himesh Reshammiya,2,120000000,70000
Karzzzz,Normal,Yes,No,drama,Yes,No,No,Himesh Reshammiya,Satish Kaushik,Himesh Reshammiya,900,240000000,162800000
Teraa Surroor,Normal,No,Yes,thriller,No,No,No,Himesh Reshammiya,Shawn Arranha,Himesh Reshammiya,1150,150000000,85400000
Damadamm!,Holiday,No,No,comedy,No,Yes,No,Himesh Reshammiya,Swapna Joshi,Himesh Reshammiya,225,50000000,9100000
Aap Kaa Surroor,Normal,No,No,drama,Yes,Yes,No,Himesh Reshammiya,Vijay Taneja,Himesh Reshammiya,550,90000000,191600000
Www.Sheetal Bhabhi.com,Normal,No,No,comedy,No,Yes,No,Hina Rehman,C.M. Jain,Gunwant Sharma,175,12500000,4350000
Shaabash! You Can Do It!,Normal,No,No,drama,Yes,Yes,Yes,Hitesh Agrawal,Shankar Mondal,Santokh Singh,3,7000000,72500
5ters: Castle of Dark Master,Normal,No,No,fantasy,Yes,Yes,Yes,Hithaishaini,G. Venugopal,Manikanth Kadari,15,17500000,72500
Jigyaasa,Normal,No,No,drama,No,Yes,No,Hrishita Bhatt,Faisal Saif,Ram Shankar,25,20000000,2700000
Kites,Normal,No,No,thriller,No,No,No,Hrithik Roshan,Anurag Basu,Rajesh Roshan,1800,820000000,863320000
Jodhaa Akbar,Normal,No,No,love_story,No,No,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,1000,550000000,1077817500
Mohenjo Daro,Holiday,No,No,drama,No,No,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,2700,1380000000,1040750000
Agneepath,Holiday,Yes,No,action,No,Yes,No,Hrithik Roshan,Karan Malhotra,Ajay - Atul,2600,710000000,1943275000
Krrish,Normal,No,No,action,No,No,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,950,400000000,1265587500
Krrish 3,Holiday,No,Yes,action,No,No,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,3500,950000000,2915240000
Dhoom 2,Holiday,No,Yes,action,No,No,No,Hrithik Roshan,Sanjay Gadhvi,Pritam,1000,420000000,1513890000
Kaabil,Holiday,No,No,thriller,No,No,No,Hrithik Roshan,Sanjay Gupta,Rajesh Roshan,2550,890000000,1545140000
Guzaarish,Holiday,No,No,drama,No,No,No,Hrithik Roshan,Sanjay Leela Bhansali,Sanjay Leela Bhansali,1300,740000000,548945000
Bang Bang,Holiday,Yes,No,action,No,No,No,Hrithik Roshan,Siddharth Anand,Vishal - Shekhar,3250,1600000000,2706912500
Zindagi Na Milegi Dobara,Normal,No,No,drama,No,No,No,Hrithik Roshan,Zoya Akhtar,Shankar - Ehsaan - Loy,1400,600000000,1531610000
Greater Elephant,Holiday,No,No,drama,Yes,Yes,Yes,Hussain Dalal,Srinivas Sunderrajan,Swarathma,3,3000000,72000
Shree,Normal,No,No,thriller,Yes,Yes,Yes,Hussain Kuwajerwala,Rajesh Bachchani,Talaash - Band Of Seekers,100,30000000,1750000
Chaska - An Addiction,Holiday,No,No,adult,Yes,Yes,Yes,Hyder Ali,Hridhay Sharma,Sunil Singh,1,2000000,1250000
Aishwarya,Normal,No,No,drama,Yes,No,No,Ihad Khan,Joy Augustine,Vishnu Narayan,45,5500000,3600000
Dil Dosti Etc,Normal,No,No,drama,Yes,Yes,Yes,Imaad Shah,Manish Tiwary,Agnee,135,35000000,37400000
404,Normal,No,No,thriller,No,No,Yes,Imaad Shah,Prawal Raman,Imaad Shah,225,40000000,15700000
Bhookh - The Hunger Of Body,Holiday,No,No,adult,Yes,No,No,Imran,Kishan Shah,Sawan Kumar Sawan,3,2500000,2100000
Jaane Tu... Ya Jaane Na,Holiday,No,No,love_story,No,Yes,No,Imran Khan,Abbas Tyrewala,A.R. Rehman,600,150000000,842022500
Delhi Belly,Holiday,No,No,comedy,No,Yes,No,Imran Khan,Abhinay Deo,Ram Sampath,1250,230000000,911950000
Mere Brother Ki Dulhan,Holiday,No,No,rom__com,No,Yes,No,Imran Khan,Ali Abbas Zafar,Sohail Sen,1650,320000000,938420000
Break Ke Baad,Normal,No,No,rom__com,No,Yes,No,Imran Khan,Danish Aslam,Vishal - Shekhar,875,220000000,284100000
Katti Batti,Normal,No,No,rom__com,No,No,No,Imran Khan,Nikhil Advani,Shankar - Ehsaan - Loy,1250,320000000,426425000
I Hate Luv Storys,Normal,No,No,love_story,No,Yes,Yes,Imran Khan,Punit Malhotra,Vishal - Shekhar ,1050,230000000,739957500
Gori Tere Pyaar Mein,Holiday,No,No,rom__com,No,No,No,Imran Khan,Punit Malhotra,Vishal - Shekhar,1400,450000000,311207500
Kidnap,Holiday,No,No,thriller,No,No,No,Imran Khan,Sanjay Gadhvi,Pritam,875,310000000,356060000
Matru Ki Bijlee Ka Mandola,Holiday,No,No,drama,No,No,No,Imran Khan,Vishal Bhardwaj,Vishal Bhardwaj,1850,410000000,617615000
Ziyarat,Normal,No,No,drama,Yes,Yes,Yes,Irfan Choudhary,Suresh K. Goswami,Bhajan Sopori,2,4000000,35000
Life In A Metro,Normal,No,No,drama,No,No,No,Irrfan Khan,Anurag Basu,Pritam,225,95000000,244535000
Rog,Normal,No,No,suspense,No,No,No,Irrfan Khan,Himanshu Brahmbhatt,M.M. Kreem,160,35000000,32300000
Apna Asmaan,Normal,No,No,drama,No,Yes,Yes,Irrfan Khan,Kaushik Roy,Lesle Lewis,45,30000000,1700000
Talvar,Holiday,No,No,drama,No,No,No,Irrfan Khan,Meghna Gulzar,Vishal Bhardwaj,675,170000000,471780000
Billu,Holiday,Yes,No,comedy,No,No,No,Irrfan Khan,Priyadarshan,Pritam,1050,270000000,474512500
Hindi Medium,Normal,No,No,comedy,No,No,No,Irrfan Khan,Saket Chaudhary,Sachin - Jigar,1050,230000000,918550000
Yeh Saali Zindagi,Normal,No,No,thriller,No,No,Yes,Irrfan Khan,Sudhir Mishra,Nishat Khan,650,110000000,148100000
Qarib Qarib Singlle,Normal,No,No,rom__com,No,No,No,Irrfan Khan,Tanuja Chandra,Rochak Kohli,900,170000000,210300000
Paan Singh Tomar,Normal,No,No,drama,No,No,No,Irrfan Khan,Tigmanshu Dhulia,Abhishek Ray,300,70000000,201800000
C U At 9,Normal,No,No,suspense,Yes,Yes,Yes,Isaiah,Marlon Rodrigues,Tapas Relia,35,8000000,2700000
Shabri,Holiday,No,No,drama,No,Yes,No,Isha Koppikar,Lalit Marathe,Raju Singh,75,35000000,1650000
Aashiqui.in,Holiday,No,No,love_story,Yes,Yes,Yes,Ishaan Manhaas,Shankhadeep,Nitin Kumar Gupta,30,25000000,650000
Ab To Jaago,Normal,No,No,drama,Yes,No,Yes,Ishaan Tandon,Iqbal Ali,Jalalludin Khan,1,1500000,35000
Sixteen,Normal,No,No,drama,Yes,Yes,Yes,Izabelle Leite,Raj Purohit,Adam Avil - Eddie Avil,300,27500000,17600000
Kaand - Black Scandal,Holiday,No,No,drama,Yes,No,Yes,J.B. Rana,Santosh Gupta,Param,10,3000000,425000
Bhoot Returns,Normal,No,Yes,horror,No,No,No,J.D. Chakravarthi,Ram Gopal Verma,Sandeep Chowta,925,75000000,63920000
Daal Mein Kuch Kaala Hai!,Normal,No,No,comedy,No,Yes,Yes,Jackie Shroff,Anand Balraj,Aabfm,125,40000000,5300000
Thodi Life Thoda Magic,Normal,No,No,drama,No,No,No,Jackie Shroff,Anand L. Rai,Vinay Tiwari,30,12500000,550000
Maalik Ek,Normal,No,No,mythological,No,No,No,Jackie Shroff,Deepak Balraj Vij,Jaideep Choudhury,75,10000000,875000
Married To America,Holiday,No,No,thriller,No,No,Yes,Jackie Shroff,Dilip Shankar,Anwar Hussain,150,25000000,2200000
Musaa - The Most Wanted,Normal,No,No,thriller,No,No,No,Jackie Shroff,Himanshu Brahmbhatt,Santosh Sharma,40,12500000,1400000
We R Friends,Normal,No,No,drama,No,Yes,No,Jackie Shroff,Jaidev Chakravorty,Anand - Milind,20,10000000,950000
Dilliwali Zaalim Girlfriend,Holiday,No,No,rom__com,No,Yes,Yes,Jackie Shroff,Japinder Kaur Baweja,Jazzy Bains,575,75000000,30900000
Bhoot And Friends,Holiday,No,No,drama,No,No,No,Jackie Shroff,Kittu Saluja,Sunil Singh,25,15000000,150000
Kahin Hai Mera Pyar,Normal,No,No,love_story,No,Yes,No,Jackie Shroff,Mahesh Vaijnath Doijode,Nikhil Kamath,275,45000000,2275000
Hum Do Anjaane,Normal,No,No,action,No,No,Yes,Jackie Shroff,Milind Swamy,Prashant Singh,30,15000000,750000
Bhoot Unkle,Normal,No,No,drama,No,Yes,No,Jackie Shroff,Mukesh Saigal,Baba Sehgal,20,25000000,500000
Ek Second... Jo Zindagi Badal De?,Normal,No,No,thriller,No,No,No,Jackie Shroff,Partho Ghosh,Anand Raj Anand,175,27500000,4400000
Vidyaarthi,Normal,No,No,drama,No,No,No,Jackie Shroff,Rakesh Kakaria,Anand Raj Anand,5,15000000,325000
Mera Dil Leke Dekkho,Holiday,No,No,rom__com,No,Yes,No,Jackie Shroff,Rohit Kaushik,Jatin - Lalit,70,27500000,1825000
Kitkit + Cricket = Kirkit,Normal,No,No,drama,No,Yes,No,Jackie Shroff,Shashi Pritam,Shashi Pritam,40,7500000,450000
Rangrezz,Normal,No,No,drama,No,No,No,Jacky Bhagnani,Priyadarshan,Sajid - Wajid,1150,230000000,97181250
F.A.L.T.U,Holiday,No,No,comedy,No,Yes,No,Jacky Bhagnani,Remo D'Souza,Sachin - Jigar,1200,200000000,329200000
Ajab Gazabb Love,Holiday,No,No,comedy,No,No,No,Jacky Bhagnani,Sanjay Gadhvi,Sajid - Wajid,850,290000000,102090000
Youngistaan,Holiday,No,No,drama,No,Yes,No,Jacky Bhagnani,Syed Ahmed Afzal,Jeet Ganguly,1000,280000000,94500000
Www.Love.com,Holiday,No,No,thriller,Yes,Yes,Yes,Jai Kalra,Vinod Mukhi,Mika Singh,50,15000000,2050000
My Bollywood Bride,Normal,No,No,rom__com,Yes,Yes,No,Jason Lewis,Rajeev Virani,Anu Malik,10,67500000,72500
